"overall_level","overall_score","reading_score","reading_level","grammar_score","grammar_level","listening_score","listening_level","total_time_spent_on_test"
"Intermediate",575,140,"Low Intermediate",340,"Intermediate",95,"Low Intermediate",72.2
"Low Intermediate",315,95,"Low Intermediate",130,"Low Intermediate",90,"Low Intermediate",37.95
"High Beginner",80,40,"High Beginner",40,"High Beginner",0,"Beginner",7.6
"Beginner",30,0,"Beginner",30,"High Beginner",0,"Beginner",11.75
"Beginner",10,10,"Beginner",0,"Beginner",0,"Beginner",15.4
"Beginner",30,0,"Beginner",30,"High Beginner",0,"Beginner",12.1
"High Beginner",80,40,"High Beginner",30,"High Beginner",10,"Beginner",10.87
"High Beginner",90,40,"High Beginner",30,"High Beginner",20,"High Beginner",9.63
"Beginner",10,0,"Beginner",10,"Beginner",0,"Beginner",5.53
"Low Intermediate",360,100,"Low Intermediate",145,"Low Intermediate",115,"Low Intermediate",44.9
"Low Intermediate",285,65,"High Beginner",125,"Low Intermediate",95,"Low Intermediate",46.9
"Intermediate",580,150,"Low Intermediate",310,"Intermediate",120,"Intermediate",47.63
"Low Intermediate",460,175,"Intermediate",185,"Low Intermediate",100,"Low Intermediate",44.13
"Low Intermediate",395,155,"Low Intermediate",145,"Low Intermediate",95,"Low Intermediate",40.47
"High Beginner",130,10,"Beginner",60,"High Beginner",60,"Low Intermediate",16.88
"High Beginner",150,75,"Low Intermediate",45,"High Beginner",30,"High Beginner",33.1
"High Beginner",195,30,"High Beginner",120,"Low Intermediate",45,"High Beginner",41.35
"Low Intermediate",320,80,"Low Intermediate",190,"Low Intermediate",50,"High Beginner",39.42
"High Beginner",75,0,"Beginner",75,"High Beginner",0,"Beginner",17.78
"Low Intermediate",425,155,"Low Intermediate",215,"Intermediate",55,"Low Intermediate",11.07
"High Beginner",70,10,"Beginner",40,"High Beginner",20,"High Beginner",7.92
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",6.43
"Low Intermediate",325,65,"High Beginner",165,"Low Intermediate",95,"Low Intermediate",36.33
"Beginner",20,0,"Beginner",10,"Beginner",10,"Beginner",4.98
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",1.23
"High Beginner",160,50,"High Beginner",80,"High Beginner",30,"High Beginner",10.75
"Low Intermediate",305,135,"Low Intermediate",140,"Low Intermediate",30,"High Beginner",51.88
"High Beginner",90,30,"High Beginner",30,"High Beginner",30,"High Beginner",16.37
"Beginner",40,20,"High Beginner",10,"Beginner",10,"Beginner",14.13
"Low Intermediate",460,140,"Low Intermediate",235,"Intermediate",85,"Low Intermediate",41.47
"Low Intermediate",390,180,"Intermediate",120,"Low Intermediate",90,"Low Intermediate",50.87
"High Beginner",160,40,"High Beginner",90,"High Beginner",30,"High Beginner",9.88
"Low Intermediate",285,105,"Low Intermediate",155,"Low Intermediate",25,"High Beginner",13.97
"Low Intermediate",395,115,"Low Intermediate",200,"Low Intermediate",80,"Low Intermediate",26.85
"Low Intermediate",390,100,"Low Intermediate",175,"Low Intermediate",115,"Low Intermediate",30.72
"High Beginner",90,30,"High Beginner",50,"High Beginner",10,"Beginner",9.82
"High Beginner",110,20,"High Beginner",30,"High Beginner",60,"Low Intermediate",17.5
"Low Intermediate",380,165,"Intermediate",140,"Low Intermediate",75,"Low Intermediate",47.97
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",8.92
"High Beginner",155,25,"High Beginner",90,"High Beginner",40,"High Beginner",31.93
"Low Intermediate",255,75,"Low Intermediate",145,"Low Intermediate",35,"High Beginner",17.13
"High Beginner",110,20,"High Beginner",60,"High Beginner",30,"High Beginner",9.23
"Intermediate",645,170,"Intermediate",390,"High Intermediate",85,"Low Intermediate",35.98
"Intermediate",515,250,"Intermediate",210,"Low Intermediate",55,"Low Intermediate",52.67
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",6.78
"Low Intermediate",215,70,"High Beginner",125,"Low Intermediate",20,"High Beginner",68.6
"Low Intermediate",405,180,"Intermediate",195,"Low Intermediate",30,"High Beginner",66.98
"High Beginner",130,40,"High Beginner",50,"High Beginner",40,"High Beginner",7.83
"Intermediate",540,250,"Intermediate",205,"Low Intermediate",85,"Low Intermediate",28.28
"Intermediate",625,285,"Intermediate",180,"Low Intermediate",160,"Intermediate",32.43
"Intermediate",650,205,"Intermediate",345,"Intermediate",100,"Low Intermediate",38.78
"Intermediate",520,170,"Intermediate",220,"Intermediate",130,"Intermediate",38.4
"Low Intermediate",230,75,"Low Intermediate",100,"Low Intermediate",55,"Low Intermediate",25.77
"Beginner",10,0,"Beginner",10,"Beginner",0,"Beginner",1.35
"Low Intermediate",380,120,"Low Intermediate",220,"Intermediate",40,"High Beginner",60.28
"Low Intermediate",410,120,"Low Intermediate",195,"Low Intermediate",95,"Low Intermediate",20.25
"Low Intermediate",440,115,"Low Intermediate",215,"Intermediate",110,"Low Intermediate",56.6
"Beginner",10,0,"Beginner",10,"Beginner",0,"Beginner",19.17
"Low Intermediate",350,150,"Low Intermediate",170,"Low Intermediate",30,"High Beginner",31.23
"Intermediate",550,200,"Intermediate",180,"Low Intermediate",170,"Intermediate",38.85
"Intermediate",495,215,"Intermediate",150,"Low Intermediate",130,"Intermediate",52.03
"Beginner",10,10,"Beginner",0,"Beginner",0,"Beginner",9.73
"Low Intermediate",315,105,"Low Intermediate",135,"Low Intermediate",75,"Low Intermediate",35.6
"Low Intermediate",255,75,"Low Intermediate",45,"High Beginner",135,"Intermediate",39.48
"High Beginner",145,0,"Beginner",85,"High Beginner",60,"Low Intermediate",44.4
"High Beginner",90,40,"High Beginner",40,"High Beginner",10,"Beginner",6.92
"Low Intermediate",250,95,"Low Intermediate",80,"High Beginner",75,"Low Intermediate",22.67
"Low Intermediate",380,175,"Intermediate",160,"Low Intermediate",45,"High Beginner",45.22
"Low Intermediate",330,40,"High Beginner",170,"Low Intermediate",120,"Intermediate",30.67
"High Beginner",70,40,"High Beginner",20,"Beginner",10,"Beginner",7.65
"Beginner",30,0,"Beginner",30,"High Beginner",0,"Beginner",1.02
"Intermediate",510,235,"Intermediate",150,"Low Intermediate",125,"Intermediate",32
"Low Intermediate",465,205,"Intermediate",140,"Low Intermediate",120,"Intermediate",35.9
"Intermediate",555,210,"Intermediate",250,"Intermediate",95,"Low Intermediate",64.25
"Low Intermediate",265,80,"Low Intermediate",110,"Low Intermediate",75,"Low Intermediate",42.55
"Low Intermediate",225,85,"Low Intermediate",75,"High Beginner",65,"Low Intermediate",27.45
"Low Intermediate",320,140,"Low Intermediate",115,"Low Intermediate",65,"Low Intermediate",30.28
"High Beginner",110,30,"High Beginner",50,"High Beginner",30,"High Beginner",11.52
"Beginner",30,0,"Beginner",20,"Beginner",10,"Beginner",3.82
"Low Intermediate",415,125,"Low Intermediate",250,"Intermediate",40,"High Beginner",25.45
"Low Intermediate",240,80,"Low Intermediate",120,"Low Intermediate",40,"High Beginner",32.97
"Low Intermediate",240,45,"High Beginner",135,"Low Intermediate",60,"Low Intermediate",31.85
"Beginner",30,30,"High Beginner",0,"Beginner",0,"Beginner",1.65
"Low Intermediate",290,70,"High Beginner",110,"Low Intermediate",110,"Low Intermediate",52.38
"Low Intermediate",490,210,"Intermediate",175,"Low Intermediate",105,"Low Intermediate",48.02
"Low Intermediate",465,125,"Low Intermediate",220,"Intermediate",120,"Intermediate",36.73
"High Beginner",140,20,"High Beginner",70,"High Beginner",50,"High Beginner",12.93
"Beginner",50,20,"High Beginner",0,"Beginner",30,"High Beginner",4.28
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",3.97
"Low Intermediate",330,110,"Low Intermediate",170,"Low Intermediate",50,"High Beginner",25.3
"Low Intermediate",270,90,"Low Intermediate",160,"Low Intermediate",20,"High Beginner",28.25
"High Beginner",60,30,"High Beginner",20,"Beginner",10,"Beginner",3.13
"Intermediate",720,285,"Intermediate",270,"Intermediate",165,"Intermediate",34.62
"Low Intermediate",470,85,"Low Intermediate",195,"Low Intermediate",190,"Intermediate",30.73
"Intermediate",560,185,"Intermediate",295,"Intermediate",80,"Low Intermediate",14.08
"Low Intermediate",430,220,"Intermediate",165,"Low Intermediate",45,"High Beginner",38.45
"Intermediate",585,245,"Intermediate",200,"Low Intermediate",140,"Intermediate",34.52
"Low Intermediate",320,95,"Low Intermediate",105,"Low Intermediate",120,"Intermediate",52.87
"Low Intermediate",330,125,"Low Intermediate",160,"Low Intermediate",45,"High Beginner",87.62
"Intermediate",525,180,"Intermediate",195,"Low Intermediate",150,"Intermediate",43.87
"High Beginner",150,60,"High Beginner",40,"High Beginner",50,"High Beginner",8.67
"High Beginner",175,10,"Beginner",145,"Low Intermediate",20,"High Beginner",25.83
"High Beginner",130,0,"Beginner",100,"Low Intermediate",30,"High Beginner",9.27
"Intermediate",495,100,"Low Intermediate",240,"Intermediate",155,"Intermediate",56.12
"Low Intermediate",455,195,"Intermediate",175,"Low Intermediate",85,"Low Intermediate",22.05
"High Intermediate",1125,290,"Intermediate",660,"Low Advanced",175,"Intermediate",27.5
"Intermediate",875,80,"Low Intermediate",700,"Low Advanced",95,"Low Intermediate",24.18
"Low Intermediate",410,25,"High Beginner",280,"Intermediate",105,"Low Intermediate",27.27
"High Intermediate",1250,375,"High Intermediate",535,"High Intermediate",340,"Low Advanced",54.03
"Intermediate",730,235,"Intermediate",335,"Intermediate",160,"Intermediate",48.33
"Low Intermediate",490,285,"Intermediate",80,"High Beginner",125,"Intermediate",44.55
"Low Intermediate",415,135,"Low Intermediate",240,"Intermediate",40,"High Beginner",47.68
"Low Intermediate",310,75,"Low Intermediate",130,"Low Intermediate",105,"Low Intermediate",51.72
"Beginner",30,0,"Beginner",30,"High Beginner",0,"Beginner",15.85
"Beginner",40,20,"High Beginner",10,"Beginner",10,"Beginner",12.92
"Intermediate",590,320,"High Intermediate",200,"Low Intermediate",70,"Low Intermediate",94.87
"High Intermediate",1245,440,"Low Advanced",560,"Low Advanced",245,"High Intermediate",101.4
"Intermediate",845,210,"Intermediate",430,"High Intermediate",205,"Intermediate",109.47
"High Beginner",195,30,"High Beginner",155,"Low Intermediate",10,"Beginner",23.53
"High Beginner",150,10,"Beginner",120,"Low Intermediate",20,"High Beginner",29.68
"Low Intermediate",280,65,"High Beginner",155,"Low Intermediate",60,"Low Intermediate",36.5
"Intermediate",555,120,"Low Intermediate",250,"Intermediate",185,"Intermediate",12.23
"Intermediate",575,100,"Low Intermediate",215,"Intermediate",260,"High Intermediate",14.8
"Intermediate",515,110,"Low Intermediate",320,"Intermediate",85,"Low Intermediate",15.5
"High Beginner",120,30,"High Beginner",60,"High Beginner",30,"High Beginner",17.37
"Beginner",10,0,"Beginner",10,"Beginner",0,"Beginner",4.05
"Low Intermediate",320,105,"Low Intermediate",115,"Low Intermediate",100,"Low Intermediate",29.77
"Low Intermediate",360,130,"Low Intermediate",145,"Low Intermediate",85,"Low Intermediate",31.43
"High Beginner",100,20,"High Beginner",30,"High Beginner",50,"High Beginner",11.43
"Beginner",20,0,"Beginner",10,"Beginner",10,"Beginner",4.7
"Low Intermediate",460,195,"Intermediate",155,"Low Intermediate",110,"Low Intermediate",31.93
"High Beginner",100,50,"High Beginner",30,"High Beginner",20,"High Beginner",9.75
"Beginner",50,20,"High Beginner",20,"Beginner",10,"Beginner",13.9
"High Intermediate",990,320,"High Intermediate",375,"Intermediate",295,"High Intermediate",59.73
"High Intermediate",1030,325,"High Intermediate",410,"High Intermediate",295,"High Intermediate",35.5
"Intermediate",805,275,"Intermediate",270,"Intermediate",260,"High Intermediate",39.87
"Intermediate",805,270,"Intermediate",310,"Intermediate",225,"High Intermediate",38.45
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",1.43
"Low Intermediate",455,215,"Intermediate",155,"Low Intermediate",85,"Low Intermediate",39.98
"Intermediate",545,190,"Intermediate",260,"Intermediate",95,"Low Intermediate",56.05
"Low Intermediate",435,185,"Intermediate",170,"Low Intermediate",80,"Low Intermediate",36.32
"Intermediate",585,245,"Intermediate",235,"Intermediate",105,"Low Intermediate",64.05
"Low Intermediate",405,145,"Low Intermediate",175,"Low Intermediate",85,"Low Intermediate",31.12
"Low Intermediate",255,100,"Low Intermediate",90,"High Beginner",65,"Low Intermediate",31.03
"Low Intermediate",255,60,"High Beginner",80,"High Beginner",115,"Low Intermediate",43.05
"High Beginner",140,50,"High Beginner",50,"High Beginner",40,"High Beginner",7.03
"Low Intermediate",275,110,"Low Intermediate",105,"Low Intermediate",60,"Low Intermediate",15.45
"High Beginner",80,30,"High Beginner",30,"High Beginner",20,"High Beginner",11.75
"Intermediate",505,220,"Intermediate",140,"Low Intermediate",145,"Intermediate",41.38
"Beginner",20,0,"Beginner",0,"Beginner",20,"High Beginner",2.38
"Low Intermediate",260,0,"Beginner",195,"Low Intermediate",65,"Low Intermediate",9.78
"High Beginner",90,30,"High Beginner",40,"High Beginner",20,"High Beginner",14.97
"Low Intermediate",270,70,"High Beginner",165,"Low Intermediate",35,"High Beginner",42.57
"Beginner",20,0,"Beginner",20,"Beginner",0,"Beginner",7.1
"Intermediate",505,255,"Intermediate",175,"Low Intermediate",75,"Low Intermediate",5.02
"Beginner",30,0,"Beginner",10,"Beginner",20,"High Beginner",3.92
"High Beginner",120,40,"High Beginner",40,"High Beginner",40,"High Beginner",12.68
"Low Intermediate",460,105,"Low Intermediate",250,"Intermediate",105,"Low Intermediate",60.55
"High Beginner",115,10,"Beginner",75,"High Beginner",30,"High Beginner",36.03
"Low Intermediate",245,65,"High Beginner",120,"Low Intermediate",60,"Low Intermediate",22.47
"High Beginner",100,20,"High Beginner",30,"High Beginner",50,"High Beginner",8.17
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",8.28
"High Beginner",80,20,"High Beginner",40,"High Beginner",20,"High Beginner",10.12
"Beginner",40,20,"High Beginner",10,"Beginner",10,"Beginner",4.65
"Low Intermediate",460,155,"Low Intermediate",230,"Intermediate",75,"Low Intermediate",49.68
"Low Intermediate",360,170,"Intermediate",105,"Low Intermediate",85,"Low Intermediate",37.78
"Low Intermediate",380,140,"Low Intermediate",185,"Low Intermediate",55,"Low Intermediate",20.57
"Low Intermediate",320,100,"Low Intermediate",145,"Low Intermediate",75,"Low Intermediate",36.63
"Intermediate",535,240,"Intermediate",140,"Low Intermediate",155,"Intermediate",58.6
"Beginner",50,0,"Beginner",40,"High Beginner",10,"Beginner",10.45
"High Beginner",100,20,"High Beginner",60,"High Beginner",20,"High Beginner",10.47
"Beginner",50,10,"Beginner",30,"High Beginner",10,"Beginner",5.27
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",1.37
"Low Intermediate",350,170,"Intermediate",95,"Low Intermediate",85,"Low Intermediate",22.78
"High Beginner",60,20,"High Beginner",10,"Beginner",30,"High Beginner",6.25
"Low Intermediate",245,10,"Beginner",165,"Low Intermediate",70,"Low Intermediate",14.5
"High Intermediate",1035,275,"Intermediate",625,"Low Advanced",135,"Intermediate",40.33
"Intermediate",705,235,"Intermediate",235,"Intermediate",235,"High Intermediate",43.4
"Low Intermediate",285,85,"Low Intermediate",105,"Low Intermediate",95,"Low Intermediate",30.18
"Low Intermediate",265,50,"High Beginner",90,"High Beginner",125,"Intermediate",30.1
"Low Intermediate",350,155,"Low Intermediate",130,"Low Intermediate",65,"Low Intermediate",38.45
"High Beginner",75,35,"High Beginner",40,"High Beginner",0,"Beginner",6.43
"Low Intermediate",430,60,"High Beginner",225,"Intermediate",145,"Intermediate",43.07
"Low Intermediate",255,85,"Low Intermediate",110,"Low Intermediate",60,"Low Intermediate",50.43
"Intermediate",670,220,"Intermediate",325,"Intermediate",125,"Intermediate",64.33
"Intermediate",800,285,"Intermediate",305,"Intermediate",210,"High Intermediate",18.53
"High Beginner",90,20,"High Beginner",50,"High Beginner",20,"High Beginner",15.42
"Low Intermediate",430,150,"Low Intermediate",140,"Low Intermediate",140,"Intermediate",42.27
"Low Intermediate",465,185,"Intermediate",255,"Intermediate",25,"High Beginner",29.12
"Low Intermediate",215,145,"Low Intermediate",30,"High Beginner",40,"High Beginner",33.82
"Low Intermediate",415,160,"Low Intermediate",175,"Low Intermediate",80,"Low Intermediate",5.6
"Intermediate",615,115,"Low Intermediate",405,"High Intermediate",95,"Low Intermediate",45.27
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",1.67
"Beginner",30,10,"Beginner",10,"Beginner",10,"Beginner",14.18
"Intermediate",880,290,"Intermediate",405,"High Intermediate",185,"Intermediate",76.43
"Intermediate",855,270,"Intermediate",305,"Intermediate",280,"High Intermediate",68.52
"Intermediate",670,185,"Intermediate",370,"Intermediate",115,"Low Intermediate",71.03
"Intermediate",660,195,"Intermediate",300,"Intermediate",165,"Intermediate",43.83
"Low Intermediate",300,140,"Low Intermediate",135,"Low Intermediate",25,"High Beginner",16.23
"High Beginner",205,40,"High Beginner",125,"Low Intermediate",40,"High Beginner",15.7
"High Beginner",110,40,"High Beginner",40,"High Beginner",30,"High Beginner",8.45
"High Beginner",130,10,"Beginner",100,"Low Intermediate",20,"High Beginner",6.3
"High Beginner",95,0,"Beginner",95,"Low Intermediate",0,"Beginner",14.05
"High Beginner",80,20,"High Beginner",20,"Beginner",40,"High Beginner",10.18
"Intermediate",550,80,"Low Intermediate",300,"Intermediate",170,"Intermediate",14.25
"Low Intermediate",385,205,"Intermediate",100,"Low Intermediate",80,"Low Intermediate",45.87
"Intermediate",555,130,"Low Intermediate",165,"Low Intermediate",260,"High Intermediate",46.72
"Intermediate",655,205,"Intermediate",230,"Intermediate",220,"High Intermediate",56.25
"Intermediate",640,300,"High Intermediate",165,"Low Intermediate",175,"Intermediate",47.5
"Low Intermediate",330,55,"High Beginner",140,"Low Intermediate",135,"Intermediate",30.45
"Low Intermediate",325,95,"Low Intermediate",165,"Low Intermediate",65,"Low Intermediate",81.2
"Low Intermediate",445,110,"Low Intermediate",175,"Low Intermediate",160,"Intermediate",34.15
"Low Intermediate",375,160,"Low Intermediate",160,"Low Intermediate",55,"Low Intermediate",23.73
"High Beginner",60,10,"Beginner",30,"High Beginner",20,"High Beginner",17.75
"Intermediate",595,140,"Low Intermediate",330,"Intermediate",125,"Intermediate",29.1
"Low Intermediate",405,115,"Low Intermediate",175,"Low Intermediate",115,"Low Intermediate",26.05
"Low Intermediate",490,195,"Intermediate",170,"Low Intermediate",125,"Intermediate",30.33
"Low Intermediate",375,80,"Low Intermediate",160,"Low Intermediate",135,"Intermediate",34.75
"High Beginner",180,20,"High Beginner",115,"Low Intermediate",45,"High Beginner",22.4
"High Intermediate",885,180,"Intermediate",480,"High Intermediate",225,"High Intermediate",53.37
"Intermediate",515,160,"Low Intermediate",225,"Intermediate",130,"Intermediate",39.1
"Low Intermediate",460,70,"High Beginner",260,"Intermediate",130,"Intermediate",26.73
"Beginner",50,0,"Beginner",30,"High Beginner",20,"High Beginner",5.55
"Low Intermediate",305,140,"Low Intermediate",80,"High Beginner",85,"Low Intermediate",38.22
"High Beginner",60,20,"High Beginner",20,"Beginner",20,"High Beginner",4.55
"Intermediate",505,250,"Intermediate",145,"Low Intermediate",110,"Low Intermediate",23.62
"High Beginner",140,60,"High Beginner",50,"High Beginner",30,"High Beginner",9.57
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",2.8
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",2.58
"Intermediate",525,245,"Intermediate",215,"Intermediate",65,"Low Intermediate",69.72
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",6.53
"Intermediate",500,140,"Low Intermediate",255,"Intermediate",105,"Low Intermediate",92.55
"High Beginner",60,10,"Beginner",30,"High Beginner",20,"High Beginner",4.75
"Beginner",50,10,"Beginner",20,"Beginner",20,"High Beginner",9.37
"Intermediate",495,220,"Intermediate",110,"Low Intermediate",165,"Intermediate",57
"High Beginner",190,100,"Low Intermediate",55,"High Beginner",35,"High Beginner",24.37
"Low Intermediate",345,100,"Low Intermediate",150,"Low Intermediate",95,"Low Intermediate",27.53
"Low Intermediate",265,65,"High Beginner",120,"Low Intermediate",80,"Low Intermediate",25.3
"High Beginner",200,80,"Low Intermediate",40,"High Beginner",80,"Low Intermediate",29.77
"Low Intermediate",465,215,"Intermediate",115,"Low Intermediate",135,"Intermediate",43.48
"High Beginner",90,40,"High Beginner",40,"High Beginner",10,"Beginner",17.33
"Intermediate",620,265,"Intermediate",190,"Low Intermediate",165,"Intermediate",36.38
"Intermediate",875,205,"Intermediate",430,"High Intermediate",240,"High Intermediate",43.03
"Intermediate",610,125,"Low Intermediate",300,"Intermediate",185,"Intermediate",26.62
"Low Intermediate",270,95,"Low Intermediate",75,"High Beginner",100,"Low Intermediate",26.98
"High Beginner",170,60,"High Beginner",100,"Low Intermediate",10,"Beginner",35.73
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",4.22
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",0.43
"Intermediate",580,160,"Low Intermediate",365,"Intermediate",55,"Low Intermediate",42.93
"High Beginner",160,60,"High Beginner",70,"High Beginner",30,"High Beginner",13.9
"High Beginner",55,0,"Beginner",45,"High Beginner",10,"Beginner",4.9
"Intermediate",600,280,"Intermediate",175,"Low Intermediate",145,"Intermediate",40.97
"Intermediate",545,190,"Intermediate",255,"Intermediate",100,"Low Intermediate",43.18
"Low Intermediate",425,125,"Low Intermediate",155,"Low Intermediate",145,"Intermediate",37.02
"High Beginner",60,0,"Beginner",50,"High Beginner",10,"Beginner",4.58
"High Beginner",205,30,"High Beginner",120,"Low Intermediate",55,"Low Intermediate",10.4
"Low Intermediate",265,120,"Low Intermediate",105,"Low Intermediate",40,"High Beginner",15.05
"Low Intermediate",265,130,"Low Intermediate",70,"High Beginner",65,"Low Intermediate",27.8
"Beginner",40,20,"High Beginner",20,"Beginner",0,"Beginner",5.53
"High Beginner",60,30,"High Beginner",30,"High Beginner",0,"Beginner",12.32
"Low Intermediate",470,155,"Low Intermediate",190,"Low Intermediate",125,"Intermediate",42.73
"Low Intermediate",490,105,"Low Intermediate",210,"Low Intermediate",175,"Intermediate",34.38
"Low Intermediate",470,180,"Intermediate",165,"Low Intermediate",125,"Intermediate",38.43
"Low Intermediate",415,105,"Low Intermediate",195,"Low Intermediate",115,"Low Intermediate",43.62
"Low Intermediate",365,155,"Low Intermediate",130,"Low Intermediate",80,"Low Intermediate",59.27
"Low Advanced",1330,410,"High Intermediate",625,"Low Advanced",295,"High Intermediate",50.1
"Low Intermediate",450,215,"Intermediate",165,"Low Intermediate",70,"Low Intermediate",75.25
"Beginner",20,0,"Beginner",20,"Beginner",0,"Beginner",1.77
"Beginner",10,0,"Beginner",0,"Beginner",10,"Beginner",4.7
